'Flight phase','Flight type','Crash site','Crew on board','Pax on board','Total fatalities','Crash cause'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
Flight,'Fire fighting',Mountains,2,0,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,2,0-10,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',4,12,0-10,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',15,260,0-10,'Technical failure'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',3,2,0-10,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,15,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,85,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,15,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
Flight,Private,Mountains,1,0,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,3,0-10,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,3,0-10,'Technical failure'
Flight,Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,3,0-10,'Human factor'
Flight,Test,'Plain, Valley',2,0,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,4,0-10,'Technical failure'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Mountains,1,1,0-10,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',8,106,0-10,'Technical failure'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,72,0-10,'Technical failure'
Flight,Positioning,Mountains,2,0,0-10,'Human factor'
Taxiing,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Takeoff (climb)',Positioning,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
Flight,Private,Mountains,1,1,0-10,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',2,2,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',6,0,0-10,Unknown
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',5,0,0-10,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,1,2,0-10,'Human factor'
Flight,Training,City,2,0,0-10,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,5,0-10,'Technical failure'
Flight,'Fire fighting',Mountains,2,0,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,39,0-10,'Technical failure'
'Takeoff (climb)',Private,Mountains,1,2,0-10,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',2,6,0-10,'Technical failure'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,17,0-10,'Human factor'
Flight,Private,Mountains,1,4,0-10,'Human factor'
