'Flight phase','Flight type',Survivors,'Crash site',Region,'Crew on board','Crew fatalities','Pax on board','PAX fatalities','Other fatalities','Total fatalities','Crash cause'
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',2,0,2,0,0,0,'Human factor'
'Takeoff (climb)',Test,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,7,0,72,0,0,0,'Human factor'
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)',Europe,2,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)',Positioning,No,'Airport (less than 10 km from airport)',Europe,1,1,0,0,0,1,Unknown
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',2,0,17,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,Mountains,Asia,3,0,18,1,0,1,'Human factor'
Flight,Military,No,Desert,Asia,14,14,0,0,0,14,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','South America',1,0,4,0,0,0,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',6,2,83,20,0,22,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)','North America',2,2,10,10,0,12,'Human factor'
Flight,Military,Yes,'Lake, Sea, Ocean, River',Asia,6,3,0,0,0,3,'Technical failure'
'Landing (descent or approach)',Military,No,Mountains,Europe,5,5,58,58,0,63,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,7,0,65,0,0,0,Unknown
Flight,'Spraying (Agricultural)',Yes,'Airport (less than 10 km from airport)',Asia,2,0,0,0,0,0,Unknown
